winner,tickets,opepen_count,checks_tickets,set40,set20,set10,set5,set4,set1
0xc24b76c3c81bbaf222f881a25f3a09c50ab34f33,10,1,0,3639,,,,,
0xcfb4bb05e7f5c85384619af8d3fbd405f727dc5d,10,1,0,13576,,,,,
0x9e99859354aa61d5d4201be3c1bf5dad66587ba8,11,1,1,3358,,,,,
0x3da800f4048d56afd2665a5144b1294fccb8133f,10,1,0,7223,,,,,
0xb38567e8699b7b9c7b3b234a480ba0b6c5868955,10,1,0,8340,,,,,
0xbac91e302d0ce1d69ddfdd2d6df35b2e0f4180b9,10,1,0,3240,,,,,
0x1bb436170c507d41cfa5abc0d35eeda895755a12,10,1,0,14805,,,,,
0xe922c661e664efa06c9b327781704d42e524ed3e,20,2,0,"5239, 2482",,,,,
0xc754d3a9833d8a82ecf35ae7f9cf930505dee2be,11,1,1,12055,,,,,
0x0261b3b54c4add7da57ccad5876b7d7bf0a04dce,20,2,0,"7215, 8827",,,,,
0xd9498e2fc646b5882e78a6243fb5efaedc1cd85f,10,1,0,2751,,,,,
0xf8624fab50ade6831abc6b3162e9d405792dcfd1,10,1,0,9403,,,,,
0x231e0412148ac123c29c99ee2ef32c5e1b727977,10,1,0,14726,,,,,
0xc72f5a645cdd4f627ca1adf253790f3d7005b0b1,10,1,0,6658,,,,,
0x111818a51c4177e8980566beea68fe334be7b76a,20,2,0,"14643, 5657",,,,,
0x8dd34fbca7c01c1df799e0d595a5d2943ea2f4db,10,1,0,5673,,,,,
0x35dc404623cda0dec6309af3790fdb800382a3b3,11,1,1,14246,,,,,
0x7f0073e6fac4e88a3827b9b8ddc1aec84602e433,10,1,0,5938,,,,,
0x03a4925f640c3d2e3825aac8a001ae2c965db731,30,3,0,"12060, 6704, 15377",,,,,
0x314e5699db4756138107ae7d7eeddf5708583ff5,10,1,0,6459,,,,,
0xfffa542098916fddb0558a8bb342217d88feffb7,10,1,0,11577,,,,,
0xc99de67401a305eae9ad84caea0f0e45b8645e5e,11,1,1,2565,,,,,
0x5903be9f630c865f9d3284b3c58d0d497d57d972,10,1,0,5979,,,,,
0x1c51517d8277c9ad6d701fb5394cec0c18219edb,10,1,0,1604,,,,,
0x0f7597c391a4854871000d02d34eafbf8b29654c,10,1,0,6446,,,,,
0x6904374addaf956a7d5a4b45b91e60f266d52b81,10,1,0,1486,,,,,
0x5a17fb43794212f5fac2298747c8757b8dd94a17,10,1,0,5518,,,,,
0xece4047611d3f4b55978248ee455699b62761bbf,10,1,0,1575,,,,,
0x4e3aa6092cd50ddafcb3e091990ede029f18653b,21,2,1,"361, 1092",,,,,
0xa43424732d5670815dc31f84fb94549fa70eddc6,10,1,0,11335,,,,,
0x7ffd94bf2e49efdfc63506fa6d3fef6efb5d3100,13,1,3,15855,,,,,
0x636cf4e24f28470a84065011f476248502166988,10,1,0,8211,,,,,
0x235cc1815f11cdeb941ddb342ba57f8bed806841,10,1,0,3244,,,,,
0x4b670acc43436b4da2d029e38f4e506773caebd7,20,2,0,"13638, 10893",,,,,
0xe06f9f90c459031d5d7f612ea12899d1f2649979,10,1,0,14487,,,,,
0x8f9247d63bc20ea9ffb01018203c8dacbd25edd2,10,1,0,7293,,,,,
0x0ad3e75a68dd73ef16a2acb23d98952d093edf9d,10,1,0,6308,,,,,
0x99dbfa30cdc416eccfd8017f662cfd0230b4aa06,10,1,0,11832,,,,,
0x3920059c21309afbcbc0ff3a4485d8bffbb90e9b,10,1,0,9621,,,,,
0x3fc3cb60bae777d4c5cf73e26e8bc9fd2cfa0910,10,1,0,2512,,,,,
0xbcea3ee7f08df9ff40d05b9e84a44aa16dc90b7e,10,1,0,14240,,,,,
0x5811a26fe25aab30c9ef466c32e601be8a4a79fa,10,1,0,15162,,,,,
0x7fc3bdca213a83e646f8281b4f62e440243cb218,10,1,0,1543,,,,,
0x272ab0e916dc50dfc37f5dafb1af9e52f0e8d9f4,10,1,0,11268,,,,,
0xd4cad2e8d9d6734fb247ab373695ff928087d0f3,10,1,0,2407,,,,,
0x4a0c499be1d11b257a1deb5135ddefadcd555e17,10,1,0,12760,,,,,
0x3e130bf009279c13fab3faff734632f889633ad3,10,1,0,11648,,,,,
0x67c6ffefbbade852adbcaa705d9ed35f0ae23be8,10,1,0,15630,,,,,
0xbc149c9eca07013ecd81958a5b0746d190682af4,10,1,0,14919,,,,,
0x3414666f46383e46214797b2a399e74018805321,10,1,0,7474,,,,,
0x8408dda93fc6db284baf821698038b7bd4e36462,10,1,0,4180,,,,,
0x0b8207ec94676910cedba3b5a07ed2bba3f93c2e,10,1,0,5868,,,,,
0x6769ae3f49094ade128d9367b86787fb31532be0,10,1,0,5972,,,,,
0x559fab59f4b242d2579ea35d9af5eb4ca89f4acd,10,1,0,3403,,,,,
0xd9503c89925a442ec8535ea718c204a2dcb86e2d,10,1,0,11743,,,,,
0xb037a6640d61028769538b9221f729e7cce42bc4,10,1,0,8116,,,,,
0xc7d3cc10f2f8cf0de1de469f76ac5fa5334f25b8,21,2,1,"13951, 13178",,,,,
0xa3cbdd4435c2718d0579e1652603d575cd9a5b6f,10,1,0,6541,,,,,
0xe46b9fcfdbb7acfa08f3f0109465180644ba8122,10,1,0,14340,,,,,
0xa701d5260b0a5de0e37e74d25cc628a4c70258c0,10,1,0,12008,,,,,
0x300d41cb446469c168cb53e952f20374d000be22,10,1,0,10704,,,,,
0x877ada8afc35f0b01f0894cffffc0babbada0ede,21,2,1,"10323, 6146",,,,,
0x532ba01f273573872eb3da45b4240ebe4fe6a7ba,10,1,0,13854,,,,,
0xd85af7c3998e03957adda27fdf273f5c551b6746,10,1,0,14438,,,,,
0x649b729d939ffd45416d987eb3d4efe36bbc69ae,10,1,0,4558,,,,,
0x3ae66e17fc50b2ce0b5889cc2f4025aa70594974,20,2,0,"7759, 7433",,,,,
